series,Units,date,price
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2016-01-01,15.20501935483871
Thailand (LPG low income hh) - Retail Price,Baht/kg,2016-01-01,18.13
Togo (12.5kg bottle),XOF/cylinder,2016-01-01,6500.0
Togo (6kg bottle),XOF/cylinder,2016-01-01,3120.0
Uruguay,UYU/kg,2016-01-01,35.0
Angola (LPG) ,kwanzas/kg,2016-02-01,100.0
Belize (100 lbs),BEL$/cylinder,2016-02-01,82.6
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2016-02-01,53.941
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2016-02-01,56.507
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2016-02-01,50.336
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2016-02-01,5000.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2016-02-01,6476.96078431373
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2016-02-01,6344.60784313726
Curacao (100 lb bottle),NAF per 100 lb bottle,2016-02-01,40.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2016-02-01,8.0
El Salvador (10 lbs)- commercial,US$/cylinder,2016-02-01,3.24
El Salvador (10 lbs)- hh,US$/cylinder,2016-02-01,3.24
El Salvador (20 lbs)- commercial,US$/cylinder,2016-02-01,6.43
El Salvador (20 lbs)- hh,US$/cylinder,2016-02-01,6.43
El Salvador (25 lbs) - commercial,US$/cylinder,2016-02-01,8.01
El Salvador (25 lbs) - hh,US$/cylinder,2016-02-01,8.01
El Salvador (35 lbs) - commercial,US$/cylinder,2016-02-01,11.22
El Salvador (35 lbs) - hh,US$/cylinder,2016-02-01,11.22
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2016-02-01,28.35
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2016-02-01,10.63
Fiji (LPG per kg wholesale),Fiji dollar per kg,2016-02-01,2.36
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2016-02-01,42.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2016-02-01,90.0
India (5 kg subsidized) - New Delhi ,INR/cylinder,2016-02-01,156.0
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2016-02-01,245.0
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2016-02-01,1.43896
Jamaica (Butane),JMD/liter,2016-02-01,36.4775
Jamaica (Propane),JMD/liter,2016-02-01,29.3225
Jordan (LPG - 12.5kg),JD/CY,2016-02-01,7.0
Lebanon (LPG 10kg),LBP/cylinder,2016-02-01,11975.0
Malaysia,RM/kg,2016-02-01,1.9
Malaysia (10 kg cylinder),RM/cylinder,2016-02-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2016-02-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2016-02-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2016-02-01,19.4
Mozambique,metical/kg,2016-02-01,55.46
