series,Units,date,price
Jamaica (Butane),JMD/liter,2021-09-03,79.8124
Jamaica (Propane),JMD/liter,2021-09-03,72.8797
Jordan (LPG - 12.5kg),JD/CY,2021-09-03,7.0
Lebanon (LPG 10kg),LBP/cylinder,2021-09-03,116775.0
Malawi ,MWK/kg,2021-09-03,2065.0
Malaysia,RM/kg,2021-09-03,1.9
Malaysia (10 kg cylinder),RM/cylinder,2021-09-03,19.0
Malaysia (12kg cylinder),RM/cylinder,2021-09-03,22.8
Malaysia (14kg cylinder),RM/cylinder,2021-09-03,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2021-09-03,29.35
Mauritania (12kg cylinder),MRU/cylinder,2021-09-03,30.0
Mexico  - Baja California Region (Tijuana),peso/kg,2021-09-03,21.91874688033839
Mexico  - Mexico Region,peso/kg,2021-09-03,23.29439290091625
Mexico  - Mexico City,peso/kg,2021-09-03,23.27160991721602
Mozambique,metical/kg,2021-09-03,58.18
Nepal (14.2 kg cylinders),NPR/cylinder,2021-09-03,1450.0
Nicaragua (LPG 25lb),córdobas/cylinder,2021-09-03,433.56617647058823
Niger (12.5 kg cylinder),XOF/cylinder,2021-09-03,3750.0
Niger (3 kg cylinder),XOF/cylinder,2021-09-03,900.0
Niger (6 kg cylinder),XOF/cylinder,2021-09-03,1800.0
Niger (per kg),XOF/kg,2021-09-03,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2021-09-03,2660.0
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2021-09-03,1858.312334187364
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2021-09-03,2900.0
Peru (10kg),soles/cylinder,2021-09-03,43.94505639097745
Peru (15kg),soles/cylinder,2021-09-03,64.0974358974359
Peru (3kg),soles/cylinder,2021-09-03,11.624999999999998
Peru (45kg),soles/cylinder,2021-09-03,181.313056379822
Peru (5kg),soles/cylinder,2021-09-03,23.42182978723404
Saudi Arabia (Gas Cylinder LPG (I think 16 kg see https://www.argaam.com/en/article/articledetail/id/524074)),SAR/cylinder,2021-09-03,18.85
Senegal (6kg cylinder),XOF/cylinder,2021-09-03,2885.0
South Africa - Coastal Regions,South African cents/kg,2021-09-03,2869.0
South Africa - Gauteng Region,South African cents/kg,2021-09-03,3104.0
Syria (LPG subsidized 10kg),lira/cylinder,2021-09-03,2500.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2021-09-03,23.951433333333334
Thailand (LPG cooking) - Retail Price,Baht/kg,2021-09-03,18.87
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2021-09-03,23.951433333333334
Thailand (LPG industry) - Retail Price,Baht/kg,2021-09-03,18.87
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2021-09-03,23.951433333333334
Thailand (LPG low income hh) - Retail Price,Baht/kg,2021-09-03,16.37
Togo (12.5kg bottle),XOF/cylinder,2021-09-03,6500.0
Togo (6kg bottle),XOF/cylinder,2021-09-03,3120.0
Uruguay,UYU/kg,2021-09-03,56.16
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,2021-09-03,63.0
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,2021-09-03,252.0
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,2021-09-03,27.0
Zimbabwe,ZWL/kg,2021-09-03,164.94
Zimbabwe,USD/L,2021-09-03,1.92
Angola (LPG) ,kwanzas/kg,2021-10-03,100.0
Argentina (LPG),Argentine Peso per litre,2021-10-03,57.5933
Bangladesh (12kg cylinder),Tk/cylinder,2021-10-03,1259.0
Barbados (LPG 20 lb cylinder),BDS/cylinder,2021-10-03,35.3
Belize (100 lbs),BEL$/cylinder,2021-10-03,136.89
Belize (rural areas),BEL$/gallon,2021-10-03,6.45
Belize (urban areas),BEL$/gallon,2021-10-03,6.35
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2021-10-03,7933.0
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2021-10-03,3925.0
Bolivia (10kg LPG bottle) ,Bs/bottle ,2021-10-03,22.5
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2021-10-03,100.782
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2021-10-03,95.549
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2021-10-03,91.666
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2021-10-03,5500.0
Cabo Verde (per kg), ECV/Kg,2021-10-03,153.1
Cameroon (12.5kg cylinder),XAF/cylinder,2021-10-03,6500.0
Central African Republic (36kg cylinder),XAF/cylinder,2021-10-03,500.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2021-10-03,11998.9898989899
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2021-10-03,11370.202020202
Congo (12.5kg cylinder),XAF/cylinder,2021-10-03,6600.0
Cote d'Ivoire (6kg cylinder),XOF/cylinder,2021-10-03,2000.0
Curacao (100 lb bottle),NAF per 100 lb bottle,2021-10-03,70.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2021-10-03,14.0
Egypt (LGP 12.5kg),EGP/cylinder,2021-10-03,65.0
Egypt (LGP 25kg),EGP/cylinder,2021-10-03,130.0
El Salvador (10 lbs)- commercial,US$/cylinder,2021-10-03,5.72
El Salvador (10 lbs)- hh,US$/cylinder,2021-10-03,5.72
El Salvador (20 lbs)- commercial,US$/cylinder,2021-10-03,11.19
El Salvador (20 lbs)- hh,US$/cylinder,2021-10-03,11.19
El Salvador (25 lbs) - commercial,US$/cylinder,2021-10-03,13.9
El Salvador (25 lbs) - hh,US$/cylinder,2021-10-03,13.9
El Salvador (35 lbs) - commercial,US$/cylinder,2021-10-03,19.37
El Salvador (35 lbs) - hh,US$/cylinder,2021-10-03,19.37
French Guiana ,EUR per 12.5 kg bottle,2021-10-03,27.54
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2021-10-03,42.84
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2021-10-03,16.07
Fiji (40kg cylinder) ,Fiji dollar per cylinder,2021-10-03,142.81
Fiji (50kg cylinder) ,Fiji dollar per cylinder,2021-10-03,178.51
Fiji (LPG per kg wholesale),Fiji dollar per kg,2021-10-03,3.57
Gabon (12.5kg cylinder),XAF/cylinder,2021-10-03,5950.0
Ghana (based on biweekly price survey),GHS/kg,2021-10-03,7.982009953354296
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2021-10-03,40.0
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,2021-10-03,46.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2021-10-03,132.0
Honduras (LPG 25lb),HNL/cylinder,2021-10-03,238.13
India (14.2 kg subsidized) - Mumbai ,INR/cylinder,2021-10-03,905.0
India (14.2 kg subsidized) - New Delhi ,INR/cylinder,2021-10-03,859.5
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2021-10-03,905.0
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2021-10-03,899.5
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2021-10-03,387.0
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2021-10-03,331.0
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2021-10-03,2.33009
Jamaica (Butane),JMD/liter,2021-10-03,86.2819
Jamaica (Propane),JMD/liter,2021-10-03,79.2787
Jordan (LPG - 12.5kg),JD/CY,2021-10-03,7.0
Lebanon (LPG 10kg),LBP/cylinder,2021-10-03,207480.0
Malawi ,MWK/kg,2021-10-03,2175.0
Malaysia,RM/kg,2021-10-03,1.9
Malaysia (10 kg cylinder),RM/cylinder,2021-10-03,19.0
Malaysia (12kg cylinder),RM/cylinder,2021-10-03,22.8
Malaysia (14kg cylinder),RM/cylinder,2021-10-03,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2021-10-03,30.56
Mauritania (12kg cylinder),MRU/cylinder,2021-10-03,30.0
Mexico  - Baja California Region (Tijuana),peso/kg,2021-10-03,23.838758955903707
Mexico  - Mexico Region,peso/kg,2021-10-03,24.711531405963036
Mexico  - Mexico City,peso/kg,2021-10-03,24.82843410781224
Mozambique,metical/kg,2021-10-03,58.18
Nepal (14.2 kg cylinders),NPR/cylinder,2021-10-03,1500.0
Nicaragua (LPG 25lb),córdobas/cylinder,2021-10-03,465.5992647058824
Niger (12.5 kg cylinder),XOF/cylinder,2021-10-03,3750.0
Niger (3 kg cylinder),XOF/cylinder,2021-10-03,900.0
Niger (6 kg cylinder),XOF/cylinder,2021-10-03,1800.0
Niger (per kg),XOF/kg,2021-10-03,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2021-10-03,3450.0
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2021-10-03,2004.54545454545
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2021-10-03,2970.0
Peru (10kg),soles/cylinder,2021-10-03,45.47286231884076
Peru (15kg),soles/cylinder,2021-10-03,70.31333333333333
Peru (3kg),soles/cylinder,2021-10-03,14.830000000000002
Peru (45kg),soles/cylinder,2021-10-03,188.40845070422534
Peru (5kg),soles/cylinder,2021-10-03,24.86743902439024
Saudi Arabia (Gas Cylinder LPG (I think 16 kg see https://www.argaam.com/en/article/articledetail/id/524074)),SAR/cylinder,2021-10-03,18.85
Senegal (6kg cylinder),XOF/cylinder,2021-10-03,2885.0
South Africa - Coastal Regions,South African cents/kg,2021-10-03,2861.0
South Africa - Gauteng Region,South African cents/kg,2021-10-03,3097.0
Syria (LPG subsidized 10kg),lira/cylinder,2021-10-03,2500.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2021-10-03,28.027751612903227
Thailand (LPG cooking) - Retail Price,Baht/kg,2021-10-03,18.87
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2021-10-03,28.027751612903227
Thailand (LPG industry) - Retail Price,Baht/kg,2021-10-03,18.87
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2021-10-03,28.027751612903227
Thailand (LPG low income hh) - Retail Price,Baht/kg,2021-10-03,16.37
Togo (12.5kg bottle),XOF/cylinder,2021-10-03,6500.0
Togo (6kg bottle),XOF/cylinder,2021-10-03,3120.0
Uruguay,UYU/kg,2021-10-03,56.16
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,2021-10-03,65.0
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,2021-10-03,260.0
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,2021-10-03,28.0
Zimbabwe,ZWL/kg,2021-10-03,165.59
Zimbabwe,USD/L,2021-10-03,1.87
Angola (LPG) ,kwanzas/kg,2021-11-03,100.0
Argentina (LPG),Argentine Peso per litre,2021-11-03,66.07
Bangladesh (12kg cylinder),Tk/cylinder,2021-11-03,1313.0
Barbados (LPG 20 lb cylinder),BDS/cylinder,2021-11-03,36.75
Belize (100 lbs),BEL$/cylinder,2021-11-03,139.85
Belize (rural areas),BEL$/gallon,2021-11-03,6.43
Belize (urban areas),BEL$/gallon,2021-11-03,6.33
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2021-11-03,7933.0
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2021-11-03,3900.0
Bolivia (10kg LPG bottle) ,Bs/bottle ,2021-11-03,22.5
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2021-11-03,102.444
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2021-11-03,97.659
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2021-11-03,92.647
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2021-11-03,5500.0
Cabo Verde (per kg), ECV/Kg,2021-11-03,169.0
Cameroon (12.5kg cylinder),XAF/cylinder,2021-11-03,6500.0
Central African Republic (36kg cylinder),XAF/cylinder,2021-11-03,500.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2021-11-03,12398.9898989899
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2021-11-03,11770.202020202
Congo (12.5kg cylinder),XAF/cylinder,2021-11-03,6600.0
Cote d'Ivoire (6kg cylinder),XOF/cylinder,2021-11-03,2000.0
Curacao (100 lb bottle),NAF per 100 lb bottle,2021-11-03,80.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2021-11-03,16.0
Egypt (LGP 12.5kg),EGP/cylinder,2021-11-03,65.0
Egypt (LGP 25kg),EGP/cylinder,2021-11-03,130.0
El Salvador (10 lbs)- commercial,US$/cylinder,2021-11-03,5.72
El Salvador (10 lbs)- hh,US$/cylinder,2021-11-03,5.72
El Salvador (20 lbs)- commercial,US$/cylinder,2021-11-03,11.19
El Salvador (20 lbs)- hh,US$/cylinder,2021-11-03,11.19
El Salvador (25 lbs) - commercial,US$/cylinder,2021-11-03,13.9
El Salvador (25 lbs) - hh,US$/cylinder,2021-11-03,13.9
El Salvador (35 lbs) - commercial,US$/cylinder,2021-11-03,19.37
El Salvador (35 lbs) - hh,US$/cylinder,2021-11-03,19.37
French Guiana ,EUR per 12.5 kg bottle,2021-11-03,28.78
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2021-11-03,44.96
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2021-11-03,16.86
Fiji (40kg cylinder) ,Fiji dollar per cylinder,2021-11-03,149.88
Fiji (50kg cylinder) ,Fiji dollar per cylinder,2021-11-03,187.35
Fiji (LPG per kg wholesale),Fiji dollar per kg,2021-11-03,3.75
Gabon (12.5kg cylinder),XAF/cylinder,2021-11-03,5950.0
Ghana (based on biweekly price survey),GHS/kg,2021-11-03,8.465506173258342
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2021-11-03,40.0
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,2021-11-03,46.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2021-11-03,138.0
Honduras (LPG 25lb),HNL/cylinder,2021-11-03,238.13000000000002
India (14.2 kg subsidized) - Mumbai ,INR/cylinder,2021-11-03,899.5
India (14.2 kg subsidized) - New Delhi ,INR/cylinder,2021-11-03,884.5
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2021-11-03,899.5
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2021-11-03,899.5
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2021-11-03,387.0
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2021-11-03,331.0
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2021-11-03,2.83836
Jamaica (Butane),JMD/liter,2021-11-03,86.5894
Jamaica (Propane),JMD/liter,2021-11-03,77.3262
Jordan (LPG - 12.5kg),JD/CY,2021-11-03,7.0
Lebanon (LPG 10kg),LBP/cylinder,2021-11-03,269525.0
Malawi ,MWK/kg,2021-11-03,2175.0
Malaysia,RM/kg,2021-11-03,1.9
Malaysia (10 kg cylinder),RM/cylinder,2021-11-03,19.0
Malaysia (12kg cylinder),RM/cylinder,2021-11-03,22.8
Malaysia (14kg cylinder),RM/cylinder,2021-11-03,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2021-11-03,31.87
Mauritania (12kg cylinder),MRU/cylinder,2021-11-03,30.0
Mexico  - Baja California Region (Tijuana),peso/kg,2021-11-03,22.82095757762243
Mexico  - Mexico Region,peso/kg,2021-11-03,23.204859407005983
Mexico  - Mexico City,peso/kg,2021-11-03,23.542796944805126
Mozambique,metical/kg,2021-11-03,71.02
Nepal (14.2 kg cylinders),NPR/cylinder,2021-11-03,1575.0
Nicaragua (LPG 25lb),córdobas/cylinder,2021-11-03,473.6764705882353
Niger (12.5 kg cylinder),XOF/cylinder,2021-11-03,3750.0
Niger (3 kg cylinder),XOF/cylinder,2021-11-03,900.0
Niger (6 kg cylinder),XOF/cylinder,2021-11-03,1800.0
Niger (per kg),XOF/kg,2021-11-03,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2021-11-03,3412.5
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2021-11-03,3435.5555555555557
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2021-11-03,3391.6666666666665
Peru (10kg),soles/cylinder,2021-11-03,52.13894083272464
Peru (15kg),soles/cylinder,2021-11-03,78.84593023255815
Peru (3kg),soles/cylinder,2021-11-03,16.8
Peru (45kg),soles/cylinder,2021-11-03,219.64719626168224
Peru (5kg),soles/cylinder,2021-11-03,27.973
Saudi Arabia (Gas Cylinder LPG (I think 16 kg see https://www.argaam.com/en/article/articledetail/id/524074)),SAR/cylinder,2021-11-03,18.85
Senegal (6kg cylinder),XOF/cylinder,2021-11-03,2885.0
South Africa - Coastal Regions,South African cents/kg,2021-11-03,3151.0
South Africa - Gauteng Region,South African cents/kg,2021-11-03,3387.0
Syria (LPG subsidized 10kg),lira/cylinder,2021-11-03,2500.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2021-11-03,29.6941
Thailand (LPG cooking) - Retail Price,Baht/kg,2021-11-03,18.87
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2021-11-03,29.6941
Thailand (LPG industry) - Retail Price,Baht/kg,2021-11-03,18.87
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2021-11-03,29.6941
Thailand (LPG low income hh) - Retail Price,Baht/kg,2021-11-03,16.37
Togo (12.5kg bottle),XOF/cylinder,2021-11-03,6500.0
Togo (6kg bottle),XOF/cylinder,2021-11-03,3120.0
Uruguay,UYU/kg,2021-11-03,56.16
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,2021-11-03,65.0
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,2021-11-03,260.0
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,2021-11-03,28.0
Zimbabwe,ZWL/kg,2021-11-03,202.78
Zimbabwe,USD/L,2021-11-03,2.05
Angola (LPG) ,kwanzas/kg,2021-12-03,100.0
Argentina (LPG),Argentine Peso per litre,2021-12-03,61.0133
Bangladesh (12kg cylinder),Tk/cylinder,2021-12-03,1228.0
Barbados (LPG 20 lb cylinder),BDS/cylinder,2021-12-03,38.95
Belize (100 lbs),BEL$/cylinder,2021-12-03,135.84
Belize (rural areas),BEL$/gallon,2021-12-03,6.03
Belize (urban areas),BEL$/gallon,2021-12-03,5.93
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2021-12-03,8008.0
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2021-12-03,3938.0
Bolivia (10kg LPG bottle) ,Bs/bottle ,2021-12-03,22.5
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2021-12-03,102.32
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2021-12-03,98.24
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2021-12-03,92.872
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2021-12-03,5500.0
Cabo Verde (per kg), ECV/Kg,2021-12-03,167.9
Cameroon (12.5kg cylinder),XAF/cylinder,2021-12-03,6500.0
Central African Republic (36kg cylinder),XAF/cylinder,2021-12-03,500.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2021-12-03,11340.0
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2021-12-03,11251.0
Congo (12.5kg cylinder),XAF/cylinder,2021-12-03,6600.0
Cote d'Ivoire (6kg cylinder),XOF/cylinder,2021-12-03,2000.0
Curacao (100 lb bottle),NAF per 100 lb bottle,2021-12-03,85.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2021-12-03,17.0
Egypt (LGP 12.5kg),EGP/cylinder,2021-12-03,65.0
Egypt (LGP 25kg),EGP/cylinder,2021-12-03,130.0
El Salvador (10 lbs)- commercial,US$/cylinder,2021-12-03,5.21
El Salvador (10 lbs)- hh,US$/cylinder,2021-12-03,5.21
El Salvador (20 lbs)- commercial,US$/cylinder,2021-12-03,10.18
El Salvador (20 lbs)- hh,US$/cylinder,2021-12-03,10.18
El Salvador (25 lbs) - commercial,US$/cylinder,2021-12-03,12.64
El Salvador (25 lbs) - hh,US$/cylinder,2021-12-03,12.64
El Salvador (35 lbs) - commercial,US$/cylinder,2021-12-03,17.6
El Salvador (35 lbs) - hh,US$/cylinder,2021-12-03,17.6
French Guiana ,EUR per 12.5 kg bottle,2021-12-03,27.59
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2021-12-03,48.3
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2021-12-03,18.11
Fiji (40kg cylinder) ,Fiji dollar per cylinder,2021-12-03,161.01
Fiji (50kg cylinder) ,Fiji dollar per cylinder,2021-12-03,201.27
Fiji (LPG per kg wholesale),Fiji dollar per kg,2021-12-03,4.03
Gabon (12.5kg cylinder),XAF/cylinder,2021-12-03,5950.0
Ghana (based on biweekly price survey),GHS/kg,2021-12-03,8.390181509615383
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2021-12-03,40.0
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,2021-12-03,46.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2021-12-03,122.0
Honduras (LPG 25lb),HNL/cylinder,2021-12-03,238.13000000000002
India (14.2 kg subsidized) - Mumbai ,INR/cylinder,2021-12-03,899.5
India (14.2 kg subsidized) - New Delhi ,INR/cylinder,2021-12-03,899.5
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2021-12-03,899.5
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2021-12-03,899.5
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2021-12-03,387.0
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2021-12-03,331.0
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2021-12-03,2.68676
Jamaica (Butane),JMD/liter,2021-12-03,80.1464
Jamaica (Propane),JMD/liter,2021-12-03,70.5037
Jordan (LPG - 12.5kg),JD/CY,2021-12-03,7.0
Lebanon (LPG 10kg),LBP/cylinder,2021-12-03,288057.14285714284
Malawi ,MWK/kg,2021-12-03,2175.0
Malaysia,RM/kg,2021-12-03,1.9
Malaysia (10 kg cylinder),RM/cylinder,2021-12-03,19.0
Malaysia (12kg cylinder),RM/cylinder,2021-12-03,22.8
Malaysia (14kg cylinder),RM/cylinder,2021-12-03,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2021-12-03,30.61
Mauritania (12kg cylinder),MRU/cylinder,2021-12-03,30.0
Mexico  - Baja California Region (Tijuana),peso/kg,2021-12-03,20.49722256378811
Mexico  - Mexico Region,peso/kg,2021-12-03,20.90153205817252
Mexico  - Mexico City,peso/kg,2021-12-03,21.526055405137683
Mozambique,metical/kg,2021-12-03,71.02
Nepal (14.2 kg cylinders),NPR/cylinder,2021-12-03,1575.0
Nicaragua (LPG 25lb),córdobas/cylinder,2021-12-03,473.6764705882353
Niger (12.5 kg cylinder),XOF/cylinder,2021-12-03,3750.0
Niger (3 kg cylinder),XOF/cylinder,2021-12-03,900.0
Niger (6 kg cylinder),XOF/cylinder,2021-12-03,1800.0
Niger (per kg),XOF/kg,2021-12-03,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2021-12-03,3650.0
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2021-12-03,3909.5238095238096
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2021-12-03,3217.49076757339
Peru (10kg),soles/cylinder,2021-12-03,55.52779591836749
Peru (15kg),soles/cylinder,2021-12-03,81.00961538461539
Peru (3kg),soles/cylinder,2021-12-03,14.199999999999998
Peru (45kg),soles/cylinder,2021-12-03,232.86962616822427
Peru (5kg),soles/cylinder,2021-12-03,28.84375
Saudi Arabia (Gas Cylinder LPG (I think 16 kg see https://www.argaam.com/en/article/articledetail/id/524074)),SAR/cylinder,2021-12-03,18.85
Senegal (6kg cylinder),XOF/cylinder,2021-12-03,2885.0
South Africa - Coastal Regions,South African cents/kg,2021-12-03,3335.0
South Africa - Gauteng Region,South African cents/kg,2021-12-03,3570.0
Syria (LPG subsidized 10kg),lira/cylinder,2021-12-03,2500.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2021-12-03,26.16462580645161
Thailand (LPG cooking) - Retail Price,Baht/kg,2021-12-03,18.87
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2021-12-03,26.16462580645161
Thailand (LPG industry) - Retail Price,Baht/kg,2021-12-03,18.87
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2021-12-03,26.16462580645161
Thailand (LPG low income hh) - Retail Price,Baht/kg,2021-12-03,16.37
Togo (12.5kg bottle),XOF/cylinder,2021-12-03,6500.0
Togo (6kg bottle),XOF/cylinder,2021-12-03,3120.0
Uruguay,UYU/kg,2021-12-03,56.16
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,2021-12-03,65.0
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,2021-12-03,260.0
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,2021-12-03,28.0
Zimbabwe,ZWL/kg,2021-12-03,225.92
Zimbabwe,USD/L,2021-12-03,2.14
Angola (LPG) ,kwanzas/kg,2022-01-03,100.0
Argentina (LPG),Argentine Peso per litre,2022-01-03,61.0133
Bangladesh (12kg cylinder),Tk/cylinder,2022-01-03,1178.0
Barbados (LPG 20 lb cylinder),BDS/cylinder,2022-01-03,38.46
Belize (100 lbs),BEL$/cylinder,2022-01-03,130.41
Belize (rural areas),BEL$/gallon,2022-01-03,6.2
Belize (urban areas),BEL$/gallon,2022-01-03,6.1
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2022-01-03,7987.0
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2022-01-03,3904.0
Bolivia (10kg LPG bottle) ,Bs/bottle ,2022-01-03,22.5
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2022-01-03,102.408
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2022-01-03,98.255
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2022-01-03,92.451
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2022-01-03,5500.0
Cabo Verde (per kg), ECV/Kg,2022-01-03,157.9
Cameroon (12.5kg cylinder),XAF/cylinder,2022-01-03,6500.0
Central African Republic (36kg cylinder),XAF/cylinder,2022-01-03,500.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2022-01-03,11123.2323232323
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2022-01-03,11033.8383838384
Congo (12.5kg cylinder),XAF/cylinder,2022-01-03,6600.0
Cote d'Ivoire (6kg cylinder),XOF/cylinder,2022-01-03,2000.0
Curacao (100 lb bottle),NAF per 100 lb bottle,2022-01-03,80.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2022-01-03,16.0
Egypt (LGP 12.5kg),EGP/cylinder,2022-01-03,65.0
Egypt (LGP 25kg),EGP/cylinder,2022-01-03,130.0
El Salvador (10 lbs)- commercial,US$/cylinder,2022-01-03,4.61
El Salvador (10 lbs)- hh,US$/cylinder,2022-01-03,4.61
El Salvador (20 lbs)- commercial,US$/cylinder,2022-01-03,8.98
El Salvador (20 lbs)- hh,US$/cylinder,2022-01-03,8.98
El Salvador (25 lbs) - commercial,US$/cylinder,2022-01-03,11.13
El Salvador (25 lbs) - hh,US$/cylinder,2022-01-03,11.13
El Salvador (35 lbs) - commercial,US$/cylinder,2022-01-03,15.5
El Salvador (35 lbs) - hh,US$/cylinder,2022-01-03,15.5
French Guiana ,EUR per 12.5 kg bottle,2022-01-03,26.01
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2022-01-03,46.24
